Species,Common Name,Category,Type of Presence,Comments,Location(s),Kingdom,Phylum,Class,Order,Family,EPBC Act Threatened Species in Australia (Generated 2020-09-29 22:36:16)
Grevillea acropogon,,Endangered,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea althoferorum,,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea banyabba,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea batrachioides,Mt Lesueur Grevillea,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea beadleana,Beadle's Grevillea,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea bedggoodiana,Enfield Grevillea,Vulnerable,Endemic,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea brachystylis subsp. australis,,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea brachystylis subsp. grandis,Large-flowered Short-styled Grevillea,Critically Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea bracteosa subsp. howatharra,,Critically Endangered,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea caleyi,Caley's Grevillea,Critically Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea calliantha,"Foote's Grevillea, Cataby Grevillea, Black Magic Grevillea",Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea celata,"Colquhoun Grevillea, Nowa Nowa Grevillea",Vulnerable,Endemic,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea christineae,Christine's Grevillea,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea corrugata,a shrub,Endangered,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea curviloba subsp. curviloba,Curved-leaf Grevillea,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea curviloba subsp. incurva,Narrow curved-leaf Grevillea,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea dryandroides subsp. dryandroides,Phalanx Grevillea,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea dryandroides subsp. hirsuta,Hairy Phalanx Grevillea,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea elongata,Ironstone Grevillea,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea evansiana,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea flexuosa,Zig Zag Grevillea,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea floripendula,"Drooping Grevillea, Ben Major Grevillea",Vulnerable,Endemic,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea glossadenia,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea guthrieana,,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea humifusa,Spreading Grevillea,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea iaspicula,Wee Jasper Grevillea,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea infecunda,Anglesea Grevillea,Vulnerable,Endemic,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea infundibularis,Fan-leaf Grevillea,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea involucrata,Lake Varley Grevillea,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea kennedyana,Flame Spider-flower,Vulnerable,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea maccutcheonii,McCutcheon's Grevillea,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea masonii,,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea maxwellii,Maxwell's Grevillea,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea mollis,,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea molyneuxii,,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea montis-cole subsp. brevistyla,Langi Ghiran Grevillea,Vulnerable,Endemic,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea murex,,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea obtusiflora,Grey Grevillea,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea parviflora subsp. parviflora,Small-flower Grevillea,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea pythara,Pythara Grevillea,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea quadricauda,,Vulnerable,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea rara,Rare Grevillea,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea raybrownii,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea rhizomatosa,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea rivularis,Carrington Falls Grevillea,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea scapigera,Corrigin Grevillea,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea scortechinii subsp. scortechinii,Black Grevillea,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea scortechinii subsp. scortechinii,Black Grevillea,Vulnerable,Present,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea shiressii,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea sp. Gillingarra (R.J.Cranfield 4087),,Critically Endangered,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea thelemanniana,Spider Net Grevillea,Critically Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea treueriana,"Mt Finke Grevillea, Scarlet Grevillea",Vulnerable,Endemic,,SA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Grevillea wilkinsonii,Tumut Grevillea,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Gudeoconcha sophiae magnifica,Magnificent Helicarionid Land Snail,Critically Endangered,Present,,"AET, NSW",Animalia,Mollusca,Gastropoda,Pulmonata,Helicarionidae,
Guichenotia seorsiflora,,Critically Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Sterculiaceae,
Gymnobelideus leadbeateri,Leadbeater's Possum,Critically Endangered,Endemic,,VIC,Animalia,Chordata,Mammalia,Diprotodonta,Petauridae,
Gyrostemon reticulatus,Net-veined Gyrostemon,Critically Endangered,Extinct*,,WA,Plantae,Magnoliophyta,Magnoliopsida,Batales,Gyrostemonaceae,
Habenaria maccraithii,Whiskered Rein Orchid,Endangered,Endemic,,QLD,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Hakea aculeata,Column Hakea,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Hakea archaeoides,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Hakea dohertyi,a shrub,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Hakea fraseri,"Gnarled Corkbark, Fraser's Hakea",Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Hakea maconochieana,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Hakea megalosperma,Lesueur Hakea,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Hakea pulvinifera,Lake Keepit Hakea,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Hakea trineura,Three-veined Hakea,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Halobaena caerulea,Blue Petrel,Vulnerable,Present,,"AET, ANT, HI, NSW, OCE, SA, TAS, VIC, WA",Animalia,Chordata,Aves,Procellariiformes,Procellariidae,
Haloragis exalata subsp. exalata,"Wingless Raspwort, Square Raspwort",Vulnerable,Present,,"NSW, SA, VIC",Plantae,Magnoliophyta,Magnoliopsida,Haloragales,Haloragaceae,
Haloragis exalata subsp. velutina,Tall Velvet Sea-berry,Vulnerable,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Haloragales,Haloragaceae,
Haloragis eyreana,Prickly Raspwort,Endangered,Endemic,,SA,Plantae,Magnoliophyta,Magnoliopsida,Haloragales,Haloragaceae,
Haloragis platycarpa,Broad-fruited Haloragis,Critically Endangered,Extinct,,WA,Plantae,Magnoliophyta,Magnoliopsida,Haloragales,Haloragaceae,
Haloragodendron lucasii,Hal,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Haloragales,Haloragaceae,
Heleioporus australiacus,Giant Burrowing Frog,Vulnerable,Present,,"NSW, TER, VIC",Animalia,Chordata,Amphibia,Anura,Limnodynastidae,
Helichrysum calvertianum,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,
Helicteres macrothrix,,Endangered,Endemic,,NT,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,
Hemiandra gardneri,Red Snakebush,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Hemiandra rutilans,"Sargents Snakebush, Colourful Snakebush",Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Hemigenia ramosissima,Branched Hemigenia,Critically Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Hemiphaga novaeseelandiae spadicea,"New Zealand Pigeon (Norfolk Island race), Norfolk Island New Zealand Pigeon",Extinct,Extinct,Norfolk Island,AET,Animalia,Chordata,Aves,Columbiformes,Columbidae,
Hensmania chapmanii,Chapman's Hensmania,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Liliopsida,Liliales,Liliaceae,
Hesperocolletes douglasi,"Douglas' Broad-headed Bee, Rottnest Bee",Critically Endangered,Present,,WA,Animalia,Arthropoda,Insecta,Hymenoptera,Colletidae,
Hexaspora pubescens,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Celastrales,Celastraceae,
Hibbertia abyssus,Bandalup Buttercup,Critically Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae,
Hibbertia basaltica,Basalt Guinea-flower,Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae,
Hibbertia crispula,Ooldea Guinea-flower,Vulnerable,Endemic,,SA,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae,
Hibbertia crispula,Ooldea Guinea-flower,Vulnerable,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae,
Hibbertia humifusa subsp. debilis,Dergholm Guinea-flower,Vulnerable,Endemic,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae,
Hibbertia humifusa subsp. erigens,Euroa Guinea-flower,Vulnerable,Endemic,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae,
Hibbertia marginata,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae,
Hibbertia priceana,,Critically Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae,
Hibbertia puberula subsp. glabrescens,,Critically Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae,
Hibbertia sp. Toolbrunup (J.R.Wheeler 2504),,Critically Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae,
Hibbertia spanantha,Julian's Hibbertia,Critically Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae,
Hibbertia tenuis,,Critically Endangered,Endemic,,SA,Plantae,Magnoliophyta,Magnoliopsida,Dilleniales,Dilleniaceae,
Hibiscus brennanii,a shrub,Vulnerable,Endemic,,NT,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,
Hibiscus cravenii,,Vulnerable,Endemic,,NT,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,
Hibiscus insularis,Phillip Island Hibiscus,Critically Endangered,Endemic,Norfolk Island,"AET, NI",Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,
Hicksbeachia pinnatifolia,"Monkey Nut, Bopple Nut, Red Bopple, Red Bopple Nut, Red Nut, Beef Nut, Red Apple Nut, Red Boppel Nut, Ivory Silky Oak",Vulnerable,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Hipposideros inornatus,Arnhem Leaf-nosed Bat,Endangered,Present,,NT,Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,
Hipposideros semoni,"Semon's Leaf-nosed Bat, Greater Wart-nosed Horseshoe-bat",Vulnerable,Endemic,,QLD,Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,
Hirundapus caudacutus,White-throated Needletail,Vulnerable,Present,,"ACT, NSW, QLD, SA, TAS, TER, VIC",Animalia,Chordata,Aves,Apodiformes,Apodidae,
Homopholis belsonii,Belson's Panic,Vulnerable,Present,,"NSW, QLD",Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,
Homoranthus bebo,,Critically Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Homoranthus darwinioides,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Homoranthus decumbens,a shrub,Endangered,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Homoranthus lunatus,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Homoranthus montanus,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Homoranthus porteri,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Homoranthus prolixus,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Hoplocephalus bungaroides,Broad-headed Snake,Vulnerable,Endemic,,NSW,Animalia,Chordata,Reptilia,Squamata,Elapidae,
Hoplocephalus bungaroides,Broad-headed Snake,Vulnerable,Present,,TER,Animalia,Chordata,Reptilia,Squamata,Elapidae,
Hoplogonus bornemisszai,Bornemissza's Stag Beetle,Critically Endangered,Endemic,,TAS,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,
Hoplogonus simsoni,Simson's Stag Beetle,Vulnerable,Endemic,,TAS,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,
Hoplogonus vanderschoori,Vanderschoor's Stag Beetle,Vulnerable,Endemic,,TAS,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,
Hoplostethus atlanticus,"Orange Roughy, Deep-sea Perch, Red Roughy",Conservation Dependent,Present,,"ANT, CSI, HI, NI, NSW, OCE, TAS",Animalia,Chordata,Actinopterygii,Beryciformes,Trachichthyidae,
Hoya australis subsp. oramicola,a vine,Vulnerable,Endemic,,NT,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,
Huperzia serrata,Water Tassel-fern,Extinct,Extinct,,QLD,Plantae,Lycopodiophyta,Lycopodopiatae,Lycopodiales,Lycopodiaceae,
Hybanthus cymulosus,Ninghan Violet,Critically Endangered,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Violales,Violaceae,
Hydriastele costata,a palm,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,
Hymenophyllum lobbii,,Extinct,Extinct,,QLD,Plantae,Polypodiophyta,Polypodiatae,Hymenophyllales,Hymenophyllaceae,
Hymenophyllum whitei,a filmy fern,Extinct,Extinct,,QLD,Plantae,Polypodiophyta,Polypodiatae,Hymenophyllales,Hymenophyllaceae,
Hypocalymma angustifolium subsp. Hutt River (S.Patrick 2982),,Endangered,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Hypocalymma longifolium,Long-leaved Myrtle,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Hypocalymma sp. Cascade (R. Bruhn 20896),,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Hypocalymma sylvestre,,Endangered,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Hypolepis dicksonioides,"Downy Ground-fern, Brake Fern, Ground Fern",Vulnerable,Endemic,Norfolk Island,"AET, NI",Plantae,Polypodiophyta,Polypodiatae,Dicksoniales,Dennstaedtiaceae,
Hypolepis distans,Scrambling Ground-fern,Endangered,Endemic,,TAS,Plantae,Polypodiophyta,Polypodiatae,Dicksoniales,Dennstaedtiaceae,
Hypolimnus pedderensis,Lake Pedder Earthworm,Extinct,Endemic,,TAS,Animalia,Annelida,Oligochaeta,Haplotaxida,Megascolecidae,
Hypotaenidia philippensis andrewsi,"Buff-banded Rail (Cocos (Keeling) Islands), Ayam Hutan",Endangered,Endemic,,CKI,Animalia,Chordata,Aves,Gruiformes,Rallidae,
Hypotaenidia sylvestris,Lord Howe Woodhen,Endangered,Endemic,,NSW,Animalia,Chordata,Aves,Gruiformes,Rallidae,
Hyridella glenelgensis,Glenelg Freshwater Mussel,Critically Endangered,Present,,VIC,Animalia,Mollusca,Bivalvia,Unionida,Hyriidae,
Idiosoma nigrum,"Shield-backed Trapdoor Spider, Black Rugose Trapdoor Spider",Vulnerable,Endemic,,WA,Animalia,Arthropoda,Arachnida,Araneae,Idiopidae,
Ileostylus micranthus,Mistletoe,Vulnerable,Endemic,Norfolk Island,"AET, NI",Plantae,Magnoliophyta,Magnoliopsida,Santalales,Loranthaceae,
Indigofera efoliata,,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Irenepharsus trypherus,"Delicate Cress, Illawarra Irene",Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Capparales,Brassicaceae,
Isoglossa eranthemoides,Isoglossa,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Acanthaceae,
Isoodon auratus auratus,Golden Bandicoot (mainland),Vulnerable,Present,,"NSW, NT, SA, WA",Animalia,Chordata,Mammalia,Polyprotodonta,Peramelidae,
Isoodon auratus barrowensis,Golden Bandicoot (Barrow Island),Vulnerable,Endemic,,WA,Animalia,Chordata,Mammalia,Polyprotodonta,Peramelidae,
Isoodon obesulus nauticus,Southern Brown Bandicoot (Nuyts Archipelago),Vulnerable,Endemic,,SA,Animalia,Chordata,Mammalia,Polyprotodonta,Peramelidae,
Isoodon obesulus obesulus,"Southern Brown Bandicoot (eastern), Southern Brown Bandicoot (south-eastern)",Endangered,Present,,"NSW, SA, TER, VIC",Animalia,Chordata,Mammalia,Polyprotodonta,Peramelidae,
Isopogon fletcheri,Fletcher's Drumsticks,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Isopogon robustus,Robust Coneflower,Critically Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Isopogon uncinatus,"Albany Cone Bush, Hook-leaf Isopogon",Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Ixodia achillaeoides subsp. arenicola,"Sand Ixodia, Ixodia",Vulnerable,Present,,"SA, VIC",Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,
Jacksonia pungens,Pungent Jacksonia,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Jacksonia quairading,"Quairading Jacksonia, Quairading Stinkwood",Endangered,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Jacksonia velveta,Collie Jacksonia,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Kardomia granitica,a shrub,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Kelleria bogongensis,Kelleria,Vulnerable,Present,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Thymelaeaceae,
Kennedia glabrata,Northcliffe Kennedia,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Kennedia lateritia,Augusta Kennedia,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Kennedia retrorsa,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Kumonga exleyi,Cape Range Remipede,Vulnerable,Endemic,,WA,Animalia,Arthropoda,Remipedia,Nectiopoda,Kumongidae,
Kunzea cambagei,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Kunzea ericifolia subsp. subulata,,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Kunzea rupestris,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Kunzea similis subsp. similis,,Critically Endangered,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Lachnagrostis adamsonii,"Adamson's Blown-grass, Adamson's Blowngrass",Endangered,Endemic,,VIC,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,
Lachnagrostis limitanea,"Spalding Blown Grass, Spalding Blowngrass",Endangered,Endemic,,SA,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,
Lagorchestes asomatus,"Kuluwarri, Central Hare-wallaby",Extinct,Extinct,,"NT, WA",Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Lagorchestes conspicillatus conspicillatus,Spectacled Hare-wallaby (Barrow Island),Vulnerable,Endemic,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Lagorchestes hirsutus Central Australian subspecies,"Mala, Rufous Hare-Wallaby (Central Australia)",Endangered,Endemic,,NT,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Lagorchestes hirsutus Central Australian subspecies,"Mala, Rufous Hare-Wallaby (Central Australia)",Endangered,Present,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Lagorchestes hirsutus bernieri,Rufous Hare-wallaby (Bernier Island),Vulnerable,Endemic,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Lagorchestes hirsutus dorreae,Rufous Hare-wallaby (Dorre Island),Vulnerable,Endemic,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Lagorchestes hirsutus hirsutus,"Rufous Hare-wallaby (south-western), Woorap",Extinct,Extinct,,"NT, SA, WA",Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Lagorchestes leporides,Eastern Hare-wallaby,Extinct,Extinct,,"NSW, QLD, SA, VIC",Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Lagostrophus fasciatus albipilis,Banded Hare-wallaby (mainland),Extinct,Extinct,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Lagostrophus fasciatus fasciatus,"Banded Hare-wallaby, Merrnine, Marnine, Munning ",Vulnerable,Endemic,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Lalage leucopyga leucopyga,Norfolk Island Long-tailed Triller,Extinct,Extinct,Norfolk Island,AET,Animalia,Chordata,Aves,Passeriformes,Campephagidae,
Lambertia echinata subsp. echinata,Prickly Honeysuckle,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Lambertia echinata subsp. occidentalis,Western Prickly Honeysuckle,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Lambertia fairallii,Fairall's Honeysuckle,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Lambertia orbifolia,Roundleaf Honeysuckle,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Lasiopetalum joyceae,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Sterculiaceae,
Lasiopetalum longistamineum,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Sterculiaceae,
Lasiopetalum pterocarpum,Wing-fruited Lasiopetalum,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Sterculiaceae,
Lasiopetalum rotundifolium,Round-leaf Lasiopetalum,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Sterculiaceae,
Lasiopetalum sp. Proston (J.A.Baker 17),Proston Lasiopetalum,Critically Endangered,Present,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Sterculiaceae,
Lasiorhinus krefftii,"Northern Hairy-nosed Wombat, Yaminon",Critically Endangered,Endemic,,QLD,Animalia,Chordata,Mammalia,Diprotodonta,Vombatidae,
Lasiorhinus krefftii,"Northern Hairy-nosed Wombat, Yaminon",Critically Endangered,Present,,NSW,Animalia,Chordata,Mammalia,Diprotodonta,Vombatidae,
